Passenger Seat has: lyrics - True | synced lyrics - False
SAD GIRLZ LUV MONEY (Remix) has: lyrics - False | synced lyrics - True
Light My Body Up (feat. Nicki Minaj & Lil Wayne) has: lyrics - False | synced lyrics - True
Walking The Wire has: lyrics - False | synced lyrics - True
Down has: lyrics - False | synced lyrics - True
New Friends has: lyrics - True | synced lyrics - False
Peaches has: lyrics - False | synced lyrics - True
California Gurls has: lyrics - False | synced lyrics - True
Never Really Over has: lyrics - False | synced lyrics - True
Saturday Nights has: lyrics - False | synced lyrics - True
Diamonds has: lyrics - False | synced lyrics - True
Don't Blame Me (Karaoke Version) has: lyrics - False | synced lyrics - True
Don’t Blame Me has: lyrics - False | synced lyrics - True
Take My Breath (Single Version) has: lyrics - False | synced lyrics - True
Zero Tolerance has: lyrics - True | synced lyrics - False
Passenger Seat has: lyrics - True | synced lyrics - False
SAD GIRLZ LUV MONEY (Remix) has: lyrics - False | synced lyrics - True
Light My Body Up (feat. Nicki Minaj & Lil Wayne) has: lyrics - False | synced lyrics - True
Walking The Wire has: lyrics - False | synced lyrics - True
Down has: lyrics - False | synced lyrics - True
New Friends has: lyrics - True | synced lyrics - False
Peaches has: lyrics - False | synced lyrics - True
California Gurls has: lyrics - False | synced lyrics - True
Never Really Over has: lyrics - False | synced lyrics - True
Passenger Seat has: lyrics - True | synced lyrics - False
SAD GIRLZ LUV MONEY (Remix) has: lyrics - False | synced lyrics - True
Light My Body Up (feat. Nicki Minaj & Lil Wayne) has: lyrics - False | synced lyrics - True
Walking The Wire has: lyrics - False | synced lyrics - True
Down has: lyrics - False | synced lyrics - True
New Friends has: lyrics - True | synced lyrics - False
Peaches has: lyrics - False | synced lyrics - True
California Gurls has: lyrics - False | synced lyrics - True
Never Really Over has: lyrics - False | synced lyrics - True
Passenger Seat has: lyrics - True | synced lyrics - False
SAD GIRLZ LUV MONEY (Remix) has: lyrics - False | synced lyrics - True
Light My Body Up (feat. Nicki Minaj & Lil Wayne) has: lyrics - False | synced lyrics - True
Walking The Wire has: lyrics - False | synced lyrics - True
Down has: lyrics - False | synced lyrics - True
New Friends has: lyrics - True | synced lyrics - False
Peaches has: lyrics - False | synced lyrics - True
California Gurls has: lyrics - False | synced lyrics - True
Never Really Over has: lyrics - False | synced lyrics - True
Passenger Seat has: lyrics - True | synced lyrics - False
SAD GIRLZ LUV MONEY (Remix) has: lyrics - False | synced lyrics - True
Light My Body Up (feat. Nicki Minaj & Lil Wayne) has: lyrics - False | synced lyrics - True
Walking The Wire has: lyrics - False | synced lyrics - True
Down has: lyrics - False | synced lyrics - True
New Friends has: lyrics - True | synced lyrics - False
Peaches has: lyrics - False | synced lyrics - True
California Gurls has: lyrics - False | synced lyrics - True
Never Really Over has: lyrics - False | synced lyrics - True
Passenger Seat has: lyrics - True | synced lyrics - False
SAD GIRLZ LUV MONEY (Remix) has: lyrics - False | synced lyrics - True
Light My Body Up (feat. Nicki Minaj & Lil Wayne) has: lyrics - False | synced lyrics - True
Walking The Wire has: lyrics - False | synced lyrics - True
Down has: lyrics - False | synced lyrics - True
New Friends has: lyrics - True | synced lyrics - False
Peaches has: lyrics - False | synced lyrics - True
