Title,Artist,Album,Lyrics Status
Luka Chuppi,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),Success,True
Raanjhanaa,A.R. Rahman,Raanjhanaa,Success,True
Saathiya,A.R. Rahman/Emon Chatterjee,Perfect 10: AR Rahman - The Spirit of Music,Success,False
Sadqay,Aashir Wajahat,Sadqay,Success,True
Buzz (feat. Badshah),Aastha Gill,Buzz (feat. Badshah),Success,True
Farsh Pe Khade,Achint,"Monica, O My Darling (Music from the Netflix Film)",Success,False
Chaand Baaliyan,Aditya A,Chaand Baaliyan,Success,True
Khalasi | Coke Studio Bharat,Aditya Gadhvi,Khalasi | Coke Studio Bharat,Success,True
Tattad Tattad,Aditya Narayan,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),Success,True
Faasle,Aditya Rikhari,Faasle,Success,True
"Sapna Jahan (From ""Brothers"")",Ajay-Atul,"Sapna Jahan (From ""Brothers"")",Success,True
nadaaniyan,Akshath,nadaaniyan,Success,True
Hum Tum,Alka Yagnik,Hum Tum,Success,True
Hasi (Female Version),Ami Mishra,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Success,True
"Kaho Na Kaho (From ""Murder"")",Amir Jamal,Murder,Not Found,False
"Ye Zamin Gaa Rahi Hai (From ""Teri Kasam"")",Amit Kumar,Neele Neele Amber Par,Success,True
"Ghodey Pe Sawaar (From ""Qala"")",Amit Trivedi,"Ghodey Pe Sawaar (From ""Qala"")",Success,True
Manja,Amit Trivedi,Kai Po Che (Original Motion Picture Soundtrack),Success,True
Shubhaarambh,Amit Trivedi,Kai Po Che (Original Motion Picture Soundtrack),Success,False
Chalte Chalte,Anand Bakshi/Jatin-Lalit/Ishaan/Udbhav/Shweta Pandit/Manohar Shetty/Pritha Mazumdar/Sonali Bhatawdekar,Mohabbatein,Success,False
Why This Kolaveri Di? (The Soup of Love),Anirudh Ravichander,Why This Kolaveri Di? (The Soup of Love),Success,True
Excuses,AP Dhillon,Excuses,Success,False
Aaya Na Tu,Arjun Kanungo,Aaya Na Tu,Not Found,False
Baaki Baatein Peene Baad (Shots) (feat. Badshah),Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah),Success,True
Woh Baarishein,Arjun Kanungo,Woh Baarishein,Success,True
Pehli Nazar Mein,Atif Aslam/Pritam Chakraborty,Race (Original Motion Picture Soundtrack),Success,True
Piya O Re Piya,Atif Aslam,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Not Found,False
Tera Hone Laga Hoon,Atif Aslam,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Success,True
Tere Liye,Atif Aslam,Prince (Original Motion Picture Soundtrack),Not Found,False
Woh Lamhe Woh Baatein,Atif Aslam,Zeher (Original Motion Picture Soundtrack),Success,True
Kaun Hoyega (Remix),B Praak,Qismat (Original Motion Picture Soundtrack),Success,False
Kaun Hoyega,B Praak,Qismat (Original Motion Picture Soundtrack),Not Found,False
"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",Success,True
Kar Gayi Chull,Badshah,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Not Found,False
Proper Patola,Badshah,Namaste England (Original Motion Picture Soundtrack),Success,True
Asalaam-e-Ishqum,Bappi Lahiri,Gunday,Success,True
Tune Maari Entriyaan,Bappi Lahiri,Gunday,Success,True
Ram Chahe Leela,Bhoomi Trivedi,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),Success,True
Mahiye Jinna Sohna,Darshan Raval,Mahiye Jinna Sohna,Success,True
Hass Hass,Diljit Dosanjh,Hass Hass,Success,True
Lover,Diljit Dosanjh,MoonChild Era,Success,True
Aisa Kuch Shot Nahi Hai,Emiway Bantai,Aisa Kuch Shot Nahi Hai,Success,False
"Ishq (From ""Lost;Found"")",Faheem Abdullah,"Ishq (From ""Lost;Found"")",Success,True
Mann Mera,Gajendra Verma,Table No. 21 (Original Motion Picture Soundtrack),Success,True
Tera Ghata,Gajendra Verma,Tera Ghata,Success,False
Sukoon,GINI,Sukoon,Success,False
Wishes,Hasan Raheem,"Maybe, It's Love",Success,True
Badal Pe Paon Hai,Hema Sardesai,Chak De India,Success,False
Amplifier,Imran Khan,Unforgettable,Success,True
Satisfya,Imran Khan,Satisfya,Success,True
"Ranjha (From ""Shershaah"")",Jasleen Royal,"Ranjha (From ""Shershaah"")",Success,True
Saaiyaan,Javed Akhtar,Ta Ra Rum Pum,Not Found,False
Ek Din Teri Raahon,Javed Ali,Naqaab (Original Motion Picture Soundtrack),Success,True
Diamond Ni,Jigar Saraiya,Diamond Ni,Success,True
Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,Success,True
Kana Yaari,Kaifi Khalil,Kana Yaari,Success,True
Purr Ka'n de Glass A,Kaifi Khalil,Purr Ka'n de Glass A,Not Found,False
Saiyyan,Kailash Kher,Jhoomo Re,Instrumental,False
Buhe Bariyan,Kanika Kapoor,Buhe Bariyan - Single,Success,False
Rangi Saari,Kavita Seth,Rangi Saari,Success,True
BLANKO,King,The Gorilla Bounce,Success,True
Tu Aake Dekhle,King,The Carnival,Success,True
"Are Jane Kaise Kab Kahan Iqrar (From ""Shakti"")",Kishore Kumar,Diamonds Forever - Lata Mangeshkar,Success,True
Aashayein,KK,Iqbal (Original Motion Picture Soundtrack),Not Found,False
Chanda Hai Tu Mera Suraj Hai Tu,Lata Mangeshkar,Meri Maa - Lata Mangeshkar Hits,Success,True
Koi Ladki Hai,Lata Mangeshkar,Dil To Pagal Hai,Success,True
Mere Khwabon Mein,Lata Mangeshkar,Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Not Found,False
Zinda Rehti Hain Unki Mohabbatein,Lata Mangeshkar,Mohabbatein,Success,True
Akhiyaan,Mitraz,Akhiyaan,Success,True
Tune Jo Na Kaha,Mohit Chauhan,New York,Success,True
Toh Phir Aao,Mustafa Zahid,Awarapan (Original Soundtrack),Success,True
Saree Ke Fall Sa,Nakash Aziz,R...Rajkumar (Original Motion Picture Soundtrack),Success,True
Mor Bani Thanghat Kare,Osman Mir,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),Success,True
Dil Ibaadat,Pritam,Tum Mile (Original Motion Picture Soundtrack),Success,False
Hai Junoon,Pritam,New York,Success,True
Jannatein Kahan,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Success,True
Tera Deedar Hua,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tu Hi Haqeeqat,Pritam,Tum Mile (Original Motion Picture Soundtrack),Success,True
Tu Hi Mera,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tujhe Sochta Hoon,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Success,True
Tum Mile,Pritam,Tum Mile (Original Motion Picture Soundtrack),Not Found,False
Khwab Dekhe Sexy Lady,Pritam Chakraborty/Neeraj Shridhar/Monali Thakur,Race (Original Motion Picture Soundtrack),Success,True
Ghana Kasoota (feat. Surbhi Jyoti),Raftaar,Ghana Kasoota (feat. Surbhi Jyoti),Success,False
Isq Risk,Rahat Fateh Ali Khan,Mere Brother Ki Dulhan,Success,True
Ari Ari,Ritviz,Baaraat,Success,True
Baaraat,Ritviz,Baaraat,Success,True
Jeet,Ritviz,Ved,Success,True
Liggi,Ritviz,Dev,Success,True
Sathi,Ritviz,Baaraat,Success,True
Udd Gaye,Ritviz,Ved,Success,True
Bezubaan,Sachin-Jigar,ABCD - Any Body Can Dance (Original Motion Picture Soundtrack),Success,True
G Phaad Ke (Remix),Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack),Not Found,False
G Phaad Ke,Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack),Success,True
Paisa Hai Toh,Sachin-Jigar,Farzi (Original Series Soundtrack),Success,True
Behti Hawa Sa Tha Woh,Shaan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Hey Shona,Shaan,Ta Ra Rum Pum,Success,True
Ladki Kyon,Shaan,Hum Tum,Success,False
My Dil Goes Mmmm,Shaan,Salaam Namaste,Success,True
Ta Ra Rum Pum,Shaan,Ta Ra Rum Pum,Success,True
Pasoori,Shae Gill,Pasoori,Success,True
Timro Pratiksa,Shallum Lama,Timro Pratiksa,Success,True
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli,Not Found,False
"Agar Tum Mil Jao (From ""Zeher"")",Shreya Ghoshal/Roop Kumar Rathod/Anu Malik,Zeher (Original Motion Picture Soundtrack),Success,True
Deewani Mastani,Shreya Ghoshal,Bajirao Mastani (Original Motion Picture Soundtrack),Success,True
Nagada Sang Dhol,Shreya Ghoshal,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),Success,True
Cheques,Shubh,Still Rollin,Success,True
King Shit,Shubh,Leo,Success,True
One Love,Shubh,One Love,Success,True
Jashn-e-Ishqa,SOHAIL SEN,Gunday,Not Found,False
Jiya,SOHAIL SEN,Gunday,Instrumental,False
Aal Izz Well,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Zoobi Doobi,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Dilbara,Sowmya Raoh/Abhijeet/Pritam/Sameer,Dhoom,Success,True
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),Not Found,False
Chak De India,Sukhwinder Singh,Chak De India,Success,True
Give Me Some Sunshine,Suraj Jagan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Mahiya,Suzzane D'mello,Awarapan (Original Soundtrack),Success,True
Ram Ayenge,Swati Mishra,Ram Ayenge,Success,False
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",Success,True
Addicted (ਆਦੀ),The Chainsmokers,Addicted (ਆਦੀ),Not Found,False
Aaoge Tum Kabhi,The Local Train,Aalas Ka Pedh,Success,True
Bandey,The Local Train,Aalas Ka Pedh,Success,True
Choo Lo,The Local Train,Aalas Ka Pedh,Success,True
Dil Mere,The Local Train,Aalas Ka Pedh,Success,True
Kaisey Jiyun (Acoustic),The Local Train,Aalas Ka Pedh,Success,True
Kaisey Jiyun,The Local Train,Aalas Ka Pedh,Success,False
Yeh Zindagi Hai,The Local Train,Aalas Ka Pedh,Success,True
Kina Chir,The PropheC,The Lifestyle,Success,True
Roz Roz,The Yellow Diary,Roz Roz,Success,True
Main Yahaan Hoon,Udit Narayan,Veer - Zaara,Success,True
Mere Mehboob Mere Sanam,Udit Narayan,Duplicate (Original Motion Picture Soundtrack),Not Found,True
Salaam Namaste,Vasundhara Das,Salaam Namaste,Success,True
Bahara,Vishal & Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Not Found,False
Dhat Teri Ki,Vishal & Shekhar,Gori Tere Pyaar Mein (Original Motion Picture Soundtrack),Success,True
Ishq Wala Love,Vishal & Shekhar,Student of the Year (Original Motion Picture Soundtrack),Success,True
Manjha,Vishal Mishra,Manjha,Success,True
Millionaire,Yo Yo Honey Singh,GLORY,Success,False
Bom Diggy,Zack Knight,Bom Diggy - Single,Success,True
