Title,Artist,Album
Happy Nation,Ace of Base,Happy Nation (U.S. Version) (Remastered)
Send My Love (To Your New Lover),Adele,25
When We Were Young,Adele,25
Bananza (Belly Dancer),Akon,Trouble
Chai and Sunshine,Anjulie,Chai and Sunshine
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM
Crazy In Love (feat. JAY-Z),Beyoncé,Dangerously In Love
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version)
Beanie,Chezile,Still In Love
Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition)
ALiEN HiTS/ALiEN RADiO,Coldplay,Moon Music (Full Moon Edition)
feelslikeimfallinginlove,Coldplay,Moon Music (Full Moon Edition)
GOOD FEELiNGS,Coldplay,Moon Music (Full Moon Edition)
People of The Pride,Coldplay,Music Of The Spheres
WE PRAY (Elyanna Version),Coldplay,WE PRAY (Elyanna Version)
WE PRAY (Jasleen Royal Version),Coldplay,WE PRAY (Jasleen Royal Version)
∞,Coldplay,Music Of The Spheres
Six Days (Remix),DJ Shadow,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)
Six Days,DJ Shadow,The Private Press
Come Undone,Duran Duran,Duran Duran
The Real Slim Shady,Eminem,Curtain Call: The Hits
Somebody That I Used To Know,Gotye,Making Mirrors
The Hanging Tree,James Newton Howard,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)
(Oh No) What You Got,Justin Timberlake,Justified
Cry Me a River,Justin Timberlake,Justified
Rock Your Body,Justin Timberlake,Justified
Cinnamon Girl,Lana Del Rey,Norman Fucking Rockwell!
Hair,Little Mix,Get Weird (Expanded Edition)
Love Me Like You,Little Mix,Get Weird (Expanded Edition)
"Secret Love Song, Pt. II",Little Mix,Get Weird (Expanded Edition)
Pizza,Martin Garrix,Pizza
Say It Right,Nelly Furtado,Loose
Am I Wrong,Nico & Vinz,Black Star Elephant
SNAP,Rosa Linn,SNAP
Believer,Scion919,Fallen Angel
Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)"
"Living Life, In The Night",Sierra Kidd,"Living Life, In The Night"
Me and the Devil,Soap&Skin,Sugarbread
Eye of the Tiger,Survivor,Rocky IV
"Tokyo Drift (Fast & Furious) (From ""The Fast And The Furious: Tokyo Drift"" Soundtrack)",Teriyaki Boyz,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)
I Can't Fucking Sing,The Weeknd,Hurry Up Tomorrow
São Paulo,The Weeknd,Hurry Up Tomorrow
blue (mini version),Yung Kai,shades of blue
blue (sped up),Yung Kai,shades of blue
blue,Yung Kai,blue
1965,Zella Day,Kicker
Shadow Preachers,Zella Day,Kicker
Birthday,Selena Gomez,Stars Dance (Bonus Track Version)
Slow Down,Selena Gomez,Stars Dance (Bonus Track Version)
Like A Champion,Selena Gomez,Stars Dance (Bonus Track Version)
Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version)
Forget Forever,Selena Gomez,Stars Dance (Bonus Track Version)
Save The Day,Selena Gomez,Stars Dance (Bonus Track Version)
B.E.A.T.,Selena Gomez,Stars Dance (Bonus Track Version)
Write Your Name,Selena Gomez,Stars Dance (Bonus Track Version)
Undercover,Selena Gomez,Stars Dance (Bonus Track Version)
Love Will Remember,Selena Gomez,Stars Dance (Bonus Track Version)
Nobody Does It Like You (Bonus Track),Selena Gomez,Stars Dance (Bonus Track Version)
Music Feels Better (Bonus Track),Selena Gomez,Stars Dance (Bonus Track Version)
