Title,Artist,Album
Around the World (La La La La La) (Radio Version),A Touch Of Class,Planet Pop
Take on Me,a-ha,Hunting High and Low
"Night Fever (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,How Can You Mend A Broken Heart
Stayin Alive,Bee Gees,How Can You Mend A Broken Heart
This Is Where I Came In,Bee Gees,This Is Where I Came In
Like a Prayer (Choir Version From “Deadpool & Wolverine”),I'll Take You There Choir,"Deadpool & Wolverine: Madonna's ""Like a Prayer"" EP"
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,Celebration (double disc version)
Hung Up,Madonna,Confessions on a Dance Floor
La Isla Bonita,Madonna,True Blue
Like a Prayer (Battle Royale Mix from “Deadpool & Wolverine”),Madonna,"Deadpool & Wolverine: Madonna's ""Like a Prayer"" EP"
Like a Prayer,Madonna,Like a Prayer
Like a Virgin,Madonna,Like a Virgin
It Must Have Been Love (Christmas for the Broken Hearted),Roxette,It Must Have Been Love
I Just Called To Say I Love You,Stevie Wonder,The Definitive Collection (Deluxe Edition)
Every Breath You Take,The Police,Synchronicity (Remastered 2003)
Sanson Ki Mala,Nusrat Fateh Ali Khan,"The Definitive Collection, Vol. 1"
Sanson Ki Mala,Rahat Fateh Ali Khan,Sanson Ki Mala
Sanson Ki Mala Pe,Ustad Nusrat Fateh Ali Khan,"Revamped, Vol. 1 (Remix)"
