Title,Artist,Album
2021 YEAR END MASHUP - SUSH & YOHAN (BEST 130+ SONGS OF 2021),Sush & Yohan Music,2021 YEAR END MASHUP - SUSH
All We Know 2.0 Sush & Yohan Mashup • The Chainsmokers • Sunix Thakor •,Sush & Yohan Music,All We Know 2.0 Sush &
"ANIMAL (Original Motion Picture Soundtrack) | BGM | Harshavardhan R | Ranbir K, Sandeep V, Bhushan K",T-Series,Unknown
"ANIMAL: Satranga (Full Video) Ranbir K,Rashmika|Sandeep|Arijit,Shreyas,Siddharth-Garima|Bhushan K",T-Series,"ANIMAL: Satranga (Full Video) Ranbir K,Rashmika|Sandeep|Arijit,Shreyas,Siddharth-Garima|Bhushan"
"ANIMAL:ARJAN VAILLY(Audio)|Ranbir Kapoor,Rashmika,Anil K,Bobby D|Sandeep V|Bhupinder,Manan|Bhushan K",T-Series,"ANIMAL:ARJAN VAILLY(Audio)|Ranbir Kapoor,Rashmika,Anil K,Bobby D|Sandeep V|Bhupinder,Manan|Bhushan"
Anushqa - Something In Common Mashup (Sush & Yohan),Sush & Yohan Music,Anushqa - Something In Common Mashup
Arcade x Mann Mera (Mashup) Full Version | Gravero,Gravero,Unknown
"Ariana Grande, Miley Cyrus, Lana Del Rey - Don't Call Me Angel (Powerful Version) / Audio",ѕℓσωє∂.мρ3,"Ariana Grande, Miley Cyrus, Lana Del"
Bebe Rexha - I Got You (Sush & Yohan Mashup) 💛,Sush & Yohan Music,Bebe Rexha - I Got You
Chaka Chak x High School ft. @TesherMusic (Sush & Yohan Mashup) 💚🏩,Sush & Yohan Music,Chaka Chak x High School ft.
"Chaleya: Sush & Yohan Megamix - Anirudh, Arijit, SRK, Drake, J. Bieber, DJ Snake +",Sush & Yohan Music,Chaleya: Sush & Yohan Megamix -
Cheap Thrills x Saathiya • Hasti Rahe Tu Hasti Rahe • @Utteeya ft. UB x Abhivirkx,Utteeya,Cheap Thrills x Saathiya • Hasti
Chudi Jo Khankee - Bole Jo Koyal Bago Me - (Reply Version) - Falguni Pathak - Rawmats,Rawmats,Chudi Jo Khankee - Bole Jo
Drake - One dance x Got A Pretty Girl And She Love Me Long Time TIKTOK TRENDING SONG,Lost Teenager,Drake - One dance x Got
Drivers License Bollywood Mashup - Sush & Yohan x Tashif,Sush & Yohan Music,Drivers License Bollywood Mashup - Sush
Falak Tak Chal Sath Mere Remix | DJ Zedi | Gone | Nelly and Kelly | Udit Narayan | Tashan,DJ Zedi,Falak Tak Chal Sath Mere Remix
Hotling Bling X Laal Ghaghra (Ajwavy Desi Mashup Remix),AjWavy,Hotling Bling X Laal Ghaghra (Ajwavy
"Husn x Choo Lo | Anuv Jain, Local Train | Full Version",THE ARYAN MUSIC LABEL,Unknown
I Wanna Love You X Tennu Le [Mashup] | Tashif | Akon | Snoop Dog | Instagram Viral Reel 2022,Tashif Music,I Wanna Love You X Tennu
ILLAHI x NIGHT CHANGES (MEGA MASHUP) | Gravero & Happy Pills,Gravero,ILLAHI x NIGHT CHANGES (MEGA MASHUP)
ILLENIUM x XXXTENTACION - Everybody Changes in their Lost Nightmares (SUSH & YOHAN MASHUP),Sush & Yohan Music,ILLENIUM x XXXTENTACION - Everybody Changes
Industry Baby X Ainvayi Ainvayi (Xirex Mashup) - Lil Nas X & Jack Harlow x Salim & Sunidhi Chauhan,Xirex,Industry Baby X Ainvayi Ainvayi (Xirex
Industry Baby × Nagada Sang Dhol🔥 (Sush & Yohan Mashup),Sush & Yohan Music,Industry Baby × Nagada Sang Dhol🔥
Infinity X Jab Tak Mashup | Aviral Kapasia,Aviral kapasia,Infinity X Jab Tak Mashup |
Isa Mashup - Tp × Sush & Yohan • Nostalgic Bollywood Vibe🌻,Sush & Yohan Music,Isa Mashup - Tp × Sush
It Ain't Me Mashup (Sush & Yohan x Tashif) • KYGO • SELENA GOMEZ,Sush & Yohan Music,It Ain't Me Mashup (Sush &
Kolaveri Di x Industry Baby🔥(Sush & Yohan Mashup),Sush & Yohan Music,Kolaveri Di x Industry Baby🔥(Sush &
Kya Mujhe Pyaar Hai (Synthwave Remix) | ROHAN | KK | Indian Synthwave,ROHAN,Kya Mujhe Pyaar Hai (Synthwave Remix)
Kyun x People (Gravero Mashup) | Astha Gill • Kaifi Khalil • Badshah • Libianca,Gravero,Kyun x People (Gravero Mashup) |
Let Her Go x Husn (Gravero Mashup) | Anuv Jain,Gravero,Let Her Go x Husn (Gravero
Let Her Go x Husn - Version 2 (Gravero Mashup) | Anuv Jain,Gravero,Unknown
Let Me Down Slowly x Main Dhoondne Ko Zamaane Mein (Gravero Mashup) | Full Version,Gravero,Unknown
LO/ST Mashup - Sush & Yohan (Diwali Special),Sush & Yohan Music,LO/ST Mashup - Sush & Yohan
Magenta Megamix - Sush & Yohan 🔥 • DJ Snake (Party Mashup 2K22),Sush & Yohan Music,Magenta Megamix - Sush & Yohan
Masakali x Tum Hi Ho (ACV Mashup) | AR Rahman x Arijit Singh | Aashiqui 2,ACV,Masakali x Tum Hi Ho (ACV
Middle of the Night x Bheegi Bheegi (Full Version) Sush & Yohan,Sush & Yohan Music,Middle of the Night x Bheegi
MIDDLE OF THE NIGHT x TERI DEEWANI (Gravero & Beatzhacker Mashup) | Full Version,Gravero,MIDDLE OF THE NIGHT x TERI
