Title,Artist,Album
We Own It (Fast & Furious),2 Chainz,Fast & Furious 6
destroyer of worlds,Aaron Hibell,destroyer of worlds
Dancin (feat. Luvli) (Krono Remix),Aaron Smith,Dancin (feat. Luvli) (Krono Remix)
Sunlight,Abandoned,Sunlight
Angeleyes,ABBA,Abba Gold Anniversary Edition
Happy Nation,Ace of Base,Happy Nation (U.S. Version) (Remastered)
Hello,Adele,25
Rolling in the Deep,Adele,21
Send My Love (To Your New Lover),Adele,25
Set Fire to the Rain,Adele,21
Skyfall,Adele,Skyfall
When We Were Young,Adele,25
Dream On,Aerosmith,Aerosmith
Passenger Seat,Aimée,Daisy Chains (The Summer EP)
Bananza (Belly Dancer),Akon,Trouble
Darkside,Alan Walker,Darkside
Faded (Restrung),Alan Walker,Different World
Faded,Alan Walker,Faded
Ignite,Alan Walker,Ignite
The Spectre,Alan Walker,The Spectre
If We Have Each Other,Alec Benjamin,Narrated For You
Let Me Down Slowly,Alec Benjamin,Narrated For You
Here,Alessia Cara,Know-It-All (Deluxe)
How Far I'll Go,Alessia Cara,Vaiana (English Version/Original Motion Picture Soundtrack/Deluxe Edition)
October,Alessia Cara,This Summer
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe)
Seventeen,Alessia Cara,Know-It-All (Deluxe)
Wild Things,Alessia Cara,Know-It-All (Deluxe)
Little Do You Know,Alex & Sierra,It's About Us
Fairytale,Alexander Rybak,Fairytale
SAD GIRLZ LUV MONEY (Remix),amaarae,SAD GIRLZ LUV MONEY (Remix)
Kids In The Corner,Amber Van Day,Kids In The Corner
Hold On,Ananya Birla,Hold On
Livin' the Life,Ananya Birla,Livin' the Life
Meant to Be,Ananya Birla,Meant to Be
Chai and Sunshine,Anjulie,Chai and Sunshine
Alarm,Anne-Marie,Alarm
Do I Wanna Know?,Arctic Monkeys,AM
I Wanna Be Yours,Arctic Monkeys,AM
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM
BABYDOLL,Ari Abdul,BABYDOLL
7 rings,Ariana Grande,"thank u, next"
Break Free,Ariana Grande,My Everything
Dangerous Woman,Ariana Grande,Dangerous Woman
Don’t Call Me Angel (Charlie’s Angels),Ariana Grande,Charlie's Angels (Original Motion Picture Soundtrack)
Everyday,Ariana Grande,Dangerous Woman
