Title,Artist,Album
Luka Chuppi,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack)
O Saya,A.R. Rahman,Slumdog Millionaire
Raanjhanaa,A.R. Rahman,Raanjhanaa
Saathiya,A.R. Rahman/Emon Chatterjee,Perfect 10: AR Rahman - The Spirit of Music
Sadqay,Aashir Wajahat,Sadqay
Buzz (feat. Badshah),Aastha Gill,Buzz (feat. Badshah)
Farsh Pe Khade,Achint,"Monica, O My Darling (Music from the Netflix Film)"
Chaand Baaliyan,Aditya A,Chaand Baaliyan
Khalasi | Coke Studio Bharat,Aditya Gadhvi,Khalasi | Coke Studio Bharat
Tattad Tattad,Aditya Narayan,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack)
Faasle,Aditya Rikhari,Faasle
Paaro,Aditya Rikhari,Paaro
Paro,Aditya Rikhari,Paro
"Sapna Jahan (From ""Brothers"")",Ajay-Atul,"Sapna Jahan (From ""Brothers"")"
nadaaniyan,Akshath,nadaaniyan
Hum Tum,Alka Yagnik,Hum Tum
Hasi (Female Version),Ami Mishra,Hamari Adhuri Kahani (Original Motion Picture Soundtrack)
"Kaho Na Kaho (From ""Murder"")",Amir Jamal,Murder
"Ye Zamin Gaa Rahi Hai (From ""Teri Kasam"")",Amit Kumar,Neele Neele Amber Par
"Ghodey Pe Sawaar (From ""Qala"")",Amit Trivedi,"Ghodey Pe Sawaar (From ""Qala"")"
Manja,Amit Trivedi,Kai Po Che (Original Motion Picture Soundtrack)
Shubhaarambh,Amit Trivedi,Kai Po Che (Original Motion Picture Soundtrack)
Chalte Chalte,Anand Bakshi/Jatin-Lalit/Ishaan/Udbhav/Shweta Pandit/Manohar Shetty/Pritha Mazumdar/Sonali Bhatawdekar,Mohabbatein
Why This Kolaveri Di? (The Soup of Love),Anirudh Ravichander,Why This Kolaveri Di? (The Soup of Love)
Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho
Excuses,AP Dhillon,Excuses
Aaya Na Tu,Arjun Kanungo,Aaya Na Tu
Baaki Baatein Peene Baad (Shots) (feat. Badshah),Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah)
Woh Baarishein,Arjun Kanungo,Woh Baarishein
