Title,Artist,Album
Around the World (La La La La La) (Radio Version),A Touch Of Class,Planet Pop
Take on Me,a-ha,Hunting High and Low
I Want It That Way,Backstreet Boys,Millennium
Incomplete,Backstreet Boys,Never Gone
Larger Than Life,Backstreet Boys,Millennium
"Night Fever (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,How Can You Mend A Broken Heart
Stayin Alive,Bee Gees,How Can You Mend A Broken Heart
This Is Where I Came In,Bee Gees,This Is Where I Came In
Rasputin,Boney M.,Les Essentiels
Mirrors,Boyce Avenue,"Cover Sessions, Vol. 3"
Like a Prayer (Choir Version From “Deadpool & Wolverine”),I'll Take You There Choir,"Deadpool & Wolverine: Madonna's ""Like a Prayer"" EP"
Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version)
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,Celebration (double disc version)
Hung Up,Madonna,Confessions on a Dance Floor
La Isla Bonita,Madonna,True Blue
Like a Prayer (Battle Royale Mix from “Deadpool & Wolverine”),Madonna,"Deadpool & Wolverine: Madonna's ""Like a Prayer"" EP"
Like a Prayer,Madonna,Like a Prayer
Like a Virgin,Madonna,Like a Virgin
It Must Have Been Love (Christmas for the Broken Hearted),Roxette,It Must Have Been Love
I Just Called To Say I Love You,Stevie Wonder,The Definitive Collection (Deluxe Edition)
Everybody Wants To Rule The World,Tears for Fears,Songs From The Big Chair (Super Deluxe)
Every Breath You Take,The Police,Synchronicity (Remastered 2003)
Des Rangila,Jatin-Lalit,Fanaa
Neele Neele Ambar Par,Kalyanji - Anandji,Kalaakaar (Original Motion Picture Soundtrack)
Mere Sapnon Ki Rani,Kishore Kumar,Aradhana (Original Motion Picture Soundtrack)
Sara Zamana,Kishore Kumar,My Name Is Anthony Gonzalves
Yeh Dosti Hum Nahin,Kishore Kumar,Sholay (Original Motion Picture Soundtrack)
ZINDAGI EK SAFAR HAI SUHANA,Kishore Kumar,Kishore Da - All Rounder
Aankhein Khuli,Lata Mangeshkar,Mohabbatein
LIKHE JO KHAT TUJHE,Mohammed Rafi,Rafi Saab - Bouncers
Phatela Jeb,Nitin Raikar,Aankhen (Original Motion Picture Soundtrack)
Sanson Ki Mala,Nusrat Fateh Ali Khan,"The Definitive Collection, Vol. 1"
Afreen Afreen (Coke Studio Season 9),Rahat Fateh Ali Khan,Afreen Afreen (Coke Studio Season 9)
Sanson Ki Mala,Rahat Fateh Ali Khan,Sanson Ki Mala
Suraj Hua Maddham,Sandesh Shandilya,Kabhi Khushi Kabhie Gham
Pyar Mein Kabhi Kabhi,Shailendra Singh,Lata Mangeshkar Romantic Songs
Mitwa,Shankar Ehsaan Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)
Tumhi Dekho Naa,Shankar Ehsaan Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)
Koyi Jo Mila Toh Mujeh Aisa Lagata Tha,Shankar Mahadevan,Breathless
Kajra Re,Shankar-Ehsaan-Loy,Bunty Aur Babli
Ta Ra Ra Ra Rum Tararumpum,Shreya Ghoshal,Ta Ra Rum Pum
Bin Tere Sanam,Udit Narayan,Yaara Dildara (Original Mostion Picture Soundtrack)
Falak Tak,Udit Narayan,Tashan
"Saat Samundar Paar, Pt. 1",Udit Narayan,Vishwatma (Original Motion Picture Soundtrack)
Sanson Ki Mala Pe,Ustad Nusrat Fateh Ali Khan,"Revamped, Vol. 1 (Remix)"
