We Own It (Fast & Furious),2 Chainz,Fast & Furious 6,Success,True
destroyer of worlds,Aaron Hibell,destroyer of worlds,Success,True
Dancin (feat. Luvli) (Krono Remix),Aaron Smith,Dancin (feat. Luvli) (Krono Remix),Success,True
Angeleyes,ABBA,Abba Gold Anniversary Edition,Success,True
Hello,Adele,25,Success,True
Rolling in the Deep,Adele,21,Success,True
Set Fire to the Rain,Adele,21,Success,True
Skyfall,Adele,Skyfall,Success,True
Dream On,Aerosmith,Aerosmith,Success,True
Darkside,Alan Walker,Darkside,Success,True
Faded (Restrung),Alan Walker,Different World,Success,True
Faded,Alan Walker,Faded,Success,True
Ignite,Alan Walker,Ignite,Success,True
The Spectre,Alan Walker,The Spectre,Success,True
If We Have Each Other,Alec Benjamin,Narrated For You,Success,True
Let Me Down Slowly,Alec Benjamin,Narrated For You,Success,True
Here,Alessia Cara,Know-It-All (Deluxe),Success,True
How Far I'll Go,Alessia Cara,Vaiana (English Version/Original Motion Picture Soundtrack/Deluxe Edition),Success,True
October,Alessia Cara,This Summer,Success,True
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),Success,True
Seventeen,Alessia Cara,Know-It-All (Deluxe),Success,True
Wild Things,Alessia Cara,Know-It-All (Deluxe),Success,True
Little Do You Know,Alex & Sierra,It's About Us,Success,True
Fairytale,Alexander Rybak,Fairytale,Success,True
SAD GIRLZ LUV MONEY (Remix),amaarae,SAD GIRLZ LUV MONEY (Remix),Success,True
Kids In The Corner,Amber Van Day,Kids In The Corner,Success,True
Hold On,Ananya Birla,Hold On,Success,True
Livin' the Life,Ananya Birla,Livin' the Life,Success,True
Meant to Be,Ananya Birla,Meant to Be,Success,True
Alarm,Anne-Marie,Alarm,Success,True
Do I Wanna Know?,Arctic Monkeys,AM,Success,True
I Wanna Be Yours,Arctic Monkeys,AM,Success,True
BABYDOLL,Ari Abdul,BABYDOLL,Success,True
7 rings,Ariana Grande,"thank u, next",Success,True
Break Free,Ariana Grande,My Everything,Success,True
Dangerous Woman,Ariana Grande,Dangerous Woman,Success,True
Don’t Call Me Angel (Charlie’s Angels),Ariana Grande,Charlie's Angels (Original Motion Picture Soundtrack),Success,True
Everyday,Ariana Grande,Dangerous Woman,Success,True
God is a woman,Ariana Grande,Sweetener,Success,True
Into You,Ariana Grande,Dangerous Woman,Success,True
Let Me Love You,Ariana Grande,Dangerous Woman,Success,True
Love Me Harder,Ariana Grande,My Everything,Success,True
no tears left to cry,Ariana Grande,Sweetener,Success,True
One Last Time,Ariana Grande,My Everything,Success,True
Side To Side,Ariana Grande,Dangerous Woman,Success,True
Stuck with U,Ariana Grande,Stuck with U,Success,True
Thinking Bout You,Ariana Grande,Dangerous Woman,Success,True
Moral of the Story,Ashe,Moral of the Story,Success,True
Lonely Together,Avicii,AVĪCI (01),Success,True
The Nights,Avicii,The Days / Nights (EP),Success,True
Copines,Aya Nakamura,NAKAMURA,Success,True
Bruise,BANTA.,Bruise,Success,True
Pompeii,Bastille,Pompeii,Success,True
Fed Up,Bazanji,Mixed Feelings,Success,True
Take Care,Beach House,Teen Dream,Success,True
Go To Sleep (feat. Kailee Morgue),Bearson,Go To Sleep (feat. Kailee Morgue),Success,True
No Broken Hearts (feat. Nicki Minaj),Bebe Rexha,No Broken Hearts (feat. Nicki Minaj),Success,True
Sacrifice,Bebe Rexha,Sacrifice,Success,True
Shower,Becky G,Shower,Success,True
Eastside,Benny Blanco,Eastside,Success,True
I Can't Get Enough,benny blanco,I Can’t Get Enough,Success,True
I Love You Always Forever,Betty Who,The Valley,Success,True
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Success,True
everything i wanted,Billie Eilish,everything i wanted,Success,True
lovely,Billie Eilish,lovely,Success,True
NDA,Billie Eilish,Happier Than Ever,Success,True
Therefore I Am,Billie Eilish,Happier Than Ever,Success,True
We Didn't Start the Fire,Billy Joel,Storm Front,Success,True
#WHERESTHELOVE,Black Eyed Peas,#WHERESTHELOVE,Success,True
GIRL LIKE ME,Black Eyed Peas,TRANSLATION,Success,False
Where Is The Love?,Black Eyed Peas,Elephunk,Success,True
Hot Girl Bummer,blackbear,everything means nothing,Success,True
sobbing in cabo,blackbear,everything means nothing,Success,True
Kill This Love,BLACKPINK,KILL THIS LOVE,Success,True
What's Up Danger,Blackway,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Success,True
Desire,Blooom,Desire,Success,True
One Love,Blue,Best Of Blue,Success,True
The Only Thing We Know,Bob Moses,Battle Lines,Success,True
Circus,Britney Spears,Circus (Deluxe Version),Success,True
Criminal,Britney Spears,Femme Fatale (Deluxe Version),Success,True
Make Me... (feat. G-Eazy),Britney Spears,Glory (Deluxe),Success,True
Grenade,Bruno Mars,The Grenade Sessions,Success,True
TRIPPIN,BUNT.,TRIPPIN,Success,True
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Success,True
I Need Your Love (feat. Ellie Goulding),Calvin Harris,18 Months,Success,True
Outside (feat. Ellie Goulding),Calvin Harris,Motion,Success,True
This Is What You Came For,Calvin Harris,This Is What You Came For,Success,True
Bam Bam (feat. Ed Sheeran),Camila Cabello,Bam Bam (feat. Ed Sheeran),Success,True
Crying in the Club,Camila Cabello,Crying in the Club,Success,True
Don't Go Yet,Camila Cabello,Don't Go Yet,Success,True
Havana (feat. Young Thug),Camila Cabello,Camila,Success,True
Shameless,Camila Cabello,Shameless,Success,True
Beautiful Feeling,Candy Says,Beautiful Feeling,Success,False
Miss You,Cashmere Cat,Miss You,Success,True
Quit,Cashmere Cat,9,Success,True
You Belong to Me,Cat Pierce,You Belong to Me,Success,True
Do You Feel It?,Chaos Chaos,Committed to the Crime,Success,True
Good Ones,Charli XCX,CRASH,Success,True
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,Success,True
Wonderfull Days (Radio Edit),Charly Lownoise & Mental Theo,Wonderful Days,Success,True
No Promises (feat. Demi Lovato),Cheat Codes,No Promises (feat. Demi Lovato),Success,True
Only You,Cheat Codes,Only You,Success,True
human,Christina Perri,head or heart,Success,True
Shadow,Chromatics,Shadow,Success,True
Leave A Trace,CHVRCHES,Every Open Eye,Success,True
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,Success,True
Cry Baby (Extended),Clean Bandit,Cry Baby (Extended),Success,True
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Speak Your Mind,Success,True
Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),Success,True
Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson),Success,True
Worth Your While,CLNGR/Greylyn,Find Myself,Success,False
A Head Full of Dreams,Coldplay,A Head Full of Dreams,Success,True
Adventure of a Lifetime,Coldplay,Adventure of a Lifetime,Success,True
Fun (feat. Tove Lo),Coldplay,A Head Full of Dreams,Success,True
Hymn for the Weekend,Coldplay,A Head Full of Dreams,Success,True
My Universe,Coldplay,My Universe,Success,True
Paradise,Coldplay,Mylo Xyloto,Success,True
Something Just Like This,Coldplay,Something Just Like This,Success,True
Up&Up,Coldplay,A Head Full of Dreams,Success,True
Viva La Vida,Coldplay,Viva La Vida (Prospekt's March Edition),Success,True
WE PRAY,Coldplay,WE PRAY,Success,True
On My Own,Darci,On My Own,Success,True
Holding On,Dasu,Holding On,Success,True
Turn Back Time,Dasu,Turn Back Time,Success,True
Youth,DAUGHTER,If You Leave,Success,True
2U (feat. Justin Bieber),David Guetta,2U (feat. Justin Bieber),Success,True
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,Success,True
Complicated (feat. Kiiara),David Guetta,Complicated (feat. Kiiara),Success,True
I'm Good (Blue),David Guetta,I'm Good (Blue),Success,True
Light My Body Up (feat. Nicki Minaj & Lil Wayne),David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),Success,True
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),Success,True
Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition),Success,True
Hide Away,Daya,"Sit Still, Look Pretty",Success,True
New,Daya,New,Success,True
"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",Success,True
Confident,Demi Lovato,Confident (Deluxe Edition),Success,True
Heart Attack,Demi Lovato,Heart Attack,Success,True
Met Him Last Night,Demi Lovato,Dancing With The Devil…The Art of Starting Over,Success,True
Sugar & Brownies,DHARIA,Sugar & Brownies,Success,True
Coming Home,Diddy - Dirty Money,Last Train To Paris (Deluxe),Success,True
Color Blind,Diplo,Color Blind,Success,True
Revolution (feat. Imanos & Faustix & Kai),Diplo,Revolution,Success,True
Let Me Love You,DJ Snake,Encore,Success,True
Selfish Love (Tiësto Remix),DJ Snake,Selfish Love (Tiësto Remix),Success,True
Selfish Love,DJ Snake,Selfish Love,Success,True
Taki Taki,DJ Snake,Carte Blanche,Success,True
End of Beginning,Djo,DECIDE,Success,True
Cake By The Ocean,DNCE,DNCE,Success,True
What It Is (Block Boy),Doechii,What It Is (Versions),Success,True
Need to Know,Doja Cat,Planet Her,Success,True
Paint The Town Red,Doja Cat,Paint The Town Red,Success,True
Boyfriend,Dove Cameron,Boyfriend,Success,True
Circadian Rhythm,Drake,100 GIGS,Success,False
God's Plan,Drake,Scorpion,Success,True
One Dance,Drake,Views,Success,True
Be the One,Dua Lipa,Dua Lipa (Deluxe),Success,True
Don't Start Now,Dua Lipa,Don't Start Now,Success,True
Hotter Than Hell,Dua Lipa,Dua Lipa (Complete Edition),Success,True
Levitating,Dua Lipa,Future Nostalgia,Success,True
Physical,Dua Lipa,Physical,Success,True
i miss you (skin to skin),Dylan Conrique,i miss you (skin to skin),Success,True
All of the Stars,Ed Sheeran,Nos étoiles contraires: Music From The Motion Picture,Success,True
Bad Habits,Ed Sheeran,Bad Habits,Success,True
Barcelona,Ed Sheeran,÷ (Deluxe),Success,True
Beautiful People (feat. Khalid),Ed Sheeran,Beautiful People (feat. Khalid),Success,True
Castle on the Hill,Ed Sheeran,÷ (Deluxe),Success,True
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),Success,True
Happier,Ed Sheeran,÷ (Deluxe),Success,True
Perfect,Ed Sheeran,÷ (Deluxe),Success,True
Photograph,Ed Sheeran,x (Deluxe Edition),Success,True
Shape of You,Ed Sheeran,Shape of You,Success,True
Shivers (Acoustic Version),Ed Sheeran,Shivers (Acoustic Version),Success,True
Shivers,Ed Sheeran,Shivers,Success,True
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project,Success,True
