"Kaho Na Kaho (From ""Murder"")",Amir Jamal,Murder,Not Found,False
Aaya Na Tu,Arjun Kanungo,Aaya Na Tu,Not Found,False
Piya O Re Piya,Atif Aslam,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Not Found,False
Tere Liye,Atif Aslam,Prince (Original Motion Picture Soundtrack),Not Found,False
Kaun Hoyega,B Praak,Qismat (Original Motion Picture Soundtrack),Not Found,False
Kar Gayi Chull,Badshah,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Not Found,False
Saaiyaan,Javed Akhtar,Ta Ra Rum Pum,Not Found,False
Purr Ka'n de Glass A,Kaifi Khalil,Purr Ka'n de Glass A,Not Found,False
Saiyyan,Kailash Kher,Jhoomo Re,Instrumental,False
Aashayein,KK,Iqbal (Original Motion Picture Soundtrack),Not Found,False
Mere Khwabon Mein,Lata Mangeshkar,Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Not Found,False
Tera Deedar Hua,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tu Hi Mera,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tum Mile,Pritam,Tum Mile (Original Motion Picture Soundtrack),Not Found,False
G Phaad Ke (Remix),Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack),Not Found,False
Behti Hawa Sa Tha Woh,Shaan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli,Not Found,False
Jashn-e-Ishqa,SOHAIL SEN,Gunday,Not Found,False
Jiya,SOHAIL SEN,Gunday,Instrumental,False
Aal Izz Well,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Zoobi Doobi,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),Not Found,False
Give Me Some Sunshine,Suraj Jagan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Addicted (ਆਦੀ),The Chainsmokers,Addicted (ਆਦੀ),Not Found,False
Mere Mehboob Mere Sanam,Udit Narayan,Duplicate (Original Motion Picture Soundtrack),Not Found,True
Bahara,Vishal & Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Not Found,False
"Kaho Na Kaho (From ""Murder"")",Amir Jamal,Murder,Not Found,False
Aaya Na Tu,Arjun Kanungo,Aaya Na Tu,Not Found,False
Piya O Re Piya,Atif Aslam,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Not Found,False
Tere Liye,Atif Aslam,Prince (Original Motion Picture Soundtrack),Not Found,False
Kaun Hoyega,B Praak,Qismat (Original Motion Picture Soundtrack),Not Found,False
Kar Gayi Chull,Badshah,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Not Found,False
Saaiyaan,Javed Akhtar,Ta Ra Rum Pum,Not Found,False
Purr Ka'n de Glass A,Kaifi Khalil,Purr Ka'n de Glass A,Not Found,False
Saiyyan,Kailash Kher,Jhoomo Re,Instrumental,False
Aashayein,KK,Iqbal (Original Motion Picture Soundtrack),Not Found,False
Mere Khwabon Mein,Lata Mangeshkar,Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Not Found,False
Tera Deedar Hua,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tu Hi Mera,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tum Mile,Pritam,Tum Mile (Original Motion Picture Soundtrack),Not Found,False
G Phaad Ke (Remix),Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack),Not Found,False
Behti Hawa Sa Tha Woh,Shaan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli,Not Found,False
Jashn-e-Ishqa,SOHAIL SEN,Gunday,Not Found,False
Jiya,SOHAIL SEN,Gunday,Instrumental,False
Aal Izz Well,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Zoobi Doobi,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),Not Found,False
Give Me Some Sunshine,Suraj Jagan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Addicted (ਆਦੀ),The Chainsmokers,Addicted (ਆਦੀ),Not Found,False
Mere Mehboob Mere Sanam,Udit Narayan,Duplicate (Original Motion Picture Soundtrack),Not Found,True
Bahara,Vishal & Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Not Found,False
"Kaho Na Kaho (From ""Murder"")",Amir Jamal,Murder,Not Found,False
Piya O Re Piya,Atif Aslam,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Not Found,False
Tere Liye,Atif Aslam,Prince (Original Motion Picture Soundtrack),Not Found,False
Purr Ka'n de Glass A,Kaifi Khalil,Purr Ka'n de Glass A,Not Found,False
Saiyyan,Kailash Kher,Jhoomo Re,Instrumental,False
Tera Deedar Hua,Pritam,Jannat 2 (Original Motion Picture Soundtrack),Not Found,False
Tum Mile,Pritam,Tum Mile (Original Motion Picture Soundtrack),Not Found,False
Behti Hawa Sa Tha Woh,Shaan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli,Not Found,False
Jiya,SOHAIL SEN,Gunday,Instrumental,False
Aal Izz Well,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Yeh Dil Deewana,Sonu Nigam,Pardes (Original Motion Picture Soundtrack),Not Found,False
Zoobi Doobi,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
