title,artist,album
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version)
Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition)
My Universe,Coldplay,Music Of The Spheres
People of The Pride,Coldplay,Music Of The Spheres
∞,Coldplay,Music Of The Spheres
Six Days (Remix),DJ Shadow,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)
Six Days,DJ Shadow,The Private Press
Masakali,Mohit Chauhan,Delhi-6
Jab Se Tere Naina,Monty Sharma,Saawariya (Original Motion Picture Soundtrack)
Say It Right,Nelly Furtado,Loose
Mere Rashke Qamar,Nusrat Fateh Ali Khan,Baadshaho
Zara Sa (Power Ballad),Pritam,Jannat (Original Motion Picture Soundtrack)
O Re Piya,Rahat Fateh Ali Khan,Aaja Nachle
Genda Phool,Rekha Bhardwaj,Delhi-6
Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)"
"Living Life, In The Night",Sierra Kidd,"Living Life, In The Night"
Me and the Devil,Soap&Skin,Sugarbread
Ishq Hua,Sonu Nigam,Aaja Nachle
Aaja Nachle,Sunidhi Chauhan,Aaja Nachle
Mere Rashke Qamar,Tulsi Kumar,Baadshaho
Guzarish,Javed Ali,Ghajini
Aye Bachchu,Suzanne,Ghajini
Kaise Mujhe,Benny Dayal,Ghajini
Latoo,Shreya Ghoshal,Ghajini
Galliyan,Ankit Tiwari,Ek Villain
Banjaara,Mohammed Irfan,Ek Villain
Awari,Adnan Dhool,Ek Villain
Humdard,Arijit Singh,Ek Villain
Galliyan (Unplugged),Shraddha Kapoor,Ek Villain
Birthday,Selena Gomez,Stars Dance (Bonus Track Version)
Slow Down,Selena Gomez,Stars Dance (Bonus Track Version)
Stars Dance,Selena Gomez,Stars Dance (Bonus Track Version)
Like A Champion,Selena Gomez,Stars Dance (Bonus Track Version)
Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version)
Forget Forever,Selena Gomez,Stars Dance (Bonus Track Version)
Save The Day,Selena Gomez,Stars Dance (Bonus Track Version)
B.E.A.T.,Selena Gomez,Stars Dance (Bonus Track Version)
Write Your Name,Selena Gomez,Stars Dance (Bonus Track Version)
Undercover,Selena Gomez,Stars Dance (Bonus Track Version)
Love Will Remember,Selena Gomez,Stars Dance (Bonus Track Version)
Nobody Does It Like You (Bonus Track),Selena Gomez,Stars Dance (Bonus Track Version)
Music Feels Better (Bonus Track),Selena Gomez,Stars Dance (Bonus Track Version)
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli
Chup Chup Ke,Shankar-Ehsaan-Loy,Bunty Aur Babli
Kajra Re,Shankar-Ehsaan-Loy,Bunty Aur Babli
